gene_id,gene_symbol,fpkm_C42B0,fpkm_C42B25nM,fpkm_C42B50nM,tpm_C42B0,tpm_C42B25nM,tpm_C42B50nM,read_count_C42B0,read_count_C42B25nM,read_count_C42B50nM
7652,ZNF99,0.07,0.05,0.13,0.13,0.09,0.25,10.29,7.1,18.68
7673,ZNF222,1.59,1.67,1.25,2.95,3.15,2.31,48.06,48.22,35.07
7675,ZNF121,4.79,4.29,3.42,8.88,8.12,6.32,626.91,547.77,420.29
7678,ZNF124,4.54,3.52,3.14,8.41,6.67,5.8,163.97,133.05,116.85
7681,MKRN3,3.61,4.11,3.15,6.68,7.77,5.82,159,176,131
7690,ZNF131,8.39,9.45,7.85,15.54,17.88,14.49,512.11,563.84,447.25
7691,ZNF132,1.12,1.41,1.36,2.08,2.67,2.52,62,76,71
7692,ZNF133,3.77,4.36,3.87,6.98,8.24,7.15,177.47,203.54,172.91
7693,ZNF134,3.24,5.12,5.31,6,9.69,9.8,300.04,461,463
7694,ZNF135,0.09,0.24,0.14,0.17,0.46,0.27,5.84,15.02,8.52
7695,ZNF136,0.95,1.32,1.53,1.75,2.5,2.83,65.88,87.53,95.98
7697,ZNF138,5.4,4.84,4.8,9.99,9.15,8.85,264.4,230.48,218.52
7699,ZNF140,3.9,5.46,4.87,7.22,10.33,8.99,184.98,242.09,217.83
7700,ZNF141,0.92,1.3,1.03,1.7,2.47,1.9,116.83,171.52,134.46
7701,ZNF142,6.83,6.77,6.21,12.66,12.8,11.48,980.76,897.44,807.55
7702,ZNF143,8.23,7.47,7.7,15.24,14.12,14.22,466,404.3,405.13
7703,PCGF2,16.97,19.92,22.79,31.42,37.68,42.08,872.12,951.58,1058.14
7704,ZBTB16,5.56,7.97,7.08,10.3,15.08,13.08,868.63,1208.46,1048.09
7705,ZNF146,33.85,30.77,26.34,62.68,58.21,48.63,2087.18,1857,1539
7706,TRIM25,16.42,12.66,13.55,30.41,23.94,25.02,1776,1331,1381
